isbn,book_name,author,publisher,publication_date,price,stock,category_id,img_link,description,rank_num
"9791142346309","카구라바치 9 (더블특전판)","호카조노 타케루 지음","대원씨아이(만화)","2026-03-31",6500,10,6,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791142346309.jpg","만화/라이트노벨",40
"9791141615819","약속의 세대","백온유 지음","문학동네","2026-03-20",18000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791141615819.jpg","소설/시/희곡",41
"9791193904671","돈의 방정식","모건 하우절 지음, 박영준 옮김","서삼독","2026-01-16",28000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791193904671.jpg","경제경영",42
"9791191521504","코스피 1만 넥스트 레벨","박시동 지음","지와인","2026-03-10",22000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791191521504.jpg","경제경영",43
"9791198758378","인생 마지막에 쓰는 주식투자 교과서","정규준 지음","애덤스미스","2026-03-01",25000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791198758378.jpg","경제경영",44
"9791169095433","살면서 한번은 벽돌책","장강명 지음","글항아리","2026-03-13",19500,10,5,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791169095433.jpg","인문학",45
"9788935679188","예루살렘의 아이히만 (알라딘 리커버 특별판)","한나 아렌트 지음, 김선욱 옮김","한길사","2026-03-10",30000,10,11,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788935679188.jpg","사회과학",46
"9791193282533","자본주의 시대에서 살아남기 위한 최소한의 경제 공부","백억남(김욱현) 지음","하이스트","2025-12-04",28000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791193282533.jpg","경제경영",47
"9791199555112","일본 광고 카피 도감","오하림 지음","서교책방","2026-01-14",18800,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199555112.jpg","에세이",48
"9788954677158","긴긴밤","루리 지음","문학동네","2021-02-03",12500,10,12,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788954677158.jpg","어린이",49
"9791130675275","정답은 있다","이정효 지음","다산북스","2026-02-23",18000,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791130675275.jpg","에세이",50
"9791167376237","카프네","아베 아키코 지음, 이소담 옮김","은행나무","2026-03-18",18000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791167376237.jpg","소설/시/희곡",51
"9788955823509","엄마가 유령이 되었어!","노부미 지음, 이기웅 옮김","길벗어린이","2016-05-15",12000,10,14,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788955823509.jpg","유아",52
"9791175910560","느슨한 균형","쑥 지음","위즈덤하우스","2026-03-25",19000,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791175910560.jpg","에세이",53
"9791124038192","나의 완벽한 장례식","조현선 지음","북로망스","2026-01-21",19000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791124038192.jpg","소설/시/희곡",54
"9788965422785","해커스 토익 기출 VOCA (보카)","David Cho 지음","해커스어학연구소(Hackers)","2024-08-19",12900,10,4,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788965422785.jpg","외국어",55
"9788937473401","급류","정대건 지음","민음사","2022-12-22",14000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937473401.jpg","소설/시/희곡",56
"9791192372730","위버멘쉬","프리드리히 니체 지음, 어나니머스 옮김","RISE(떠오름)","2025-03-14",17800,10,5,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791192372730.jpg","인문학",57
"9791199198012","어스플러스 1 : 어스플러스 탐험대 플루","이돌돌 지음, 박정기 그림, 정은혜 감수","스튜디오프랜쥴","2025-04-18",15800,10,12,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199198012.jpg","어린이",58
"9791193401583","최소한의 삼국지","최태성 지음, 이성원 감수","프런트페이지","2025-11-18",19500,10,5,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791193401583.jpg","인문학",59
"9791199429628","사랑을 담아, 제인 오스틴","제인 오스틴 지음, 유혜인 옮김","이일상","2026-03-25",21000,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199429628.jpg","에세이",60
"9791194368854","김재우의 기본 동사 100","김재우 지음","상상스퀘어","2025-12-10",22000,10,4,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194368854.jpg","외국어",61
"9791142343896","만화의 원리","오바 와타루 외 지음","대원씨아이(만화)","2026-02-27",24000,10,6,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791142343896.jpg","만화/라이트노벨",62
"9791194634737","캔들차트 하나로 끝내는 추세추종 투자","성승현 지음","포르체","2026-01-07",25000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194634737.jpg","경제경영",63
"9791142816932","보이시한 여자친구가 너무 귀여워 4 (특장판)","규뉴무기고항 지음, 심이슬 옮김","서울미디어코믹스(서울문화사)","2026-03-18",11000,10,6,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791142816932.jpg","만화/라이트노벨",64
"9788983711892","코스모스","칼 세이건 지음, 홍승수 옮김","사이언스북스","2006-12-20",22000,10,8,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788983711892.jpg","과학",65
"9791168092396","밤의 공작새","헤르만 헤세 지음, 오승민 그림, 엄혜숙 옮김","가나출판사","2026-03-20",24800,10,12,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791168092396.jpg","어린이",66
"9788931011623","사랑의 기술","에리히 프롬 지음, 황문수 옮김","문예출판사","2019-08-19",17000,10,5,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788931011623.jpg","인문학",67
"9791173325441","시간관리국","캘리앤 브래들리 지음, 장성주 옮김","비채","2026-03-06",19800,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791173325441.jpg","소설/시/희곡",68
"9788969656896","2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형 + 실전모의고사 (수리/추리)","해커스 GSAT 취업교육연구소 지음","해커스잡","2026-01-02",24000,10,9,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788969656896.jpg","수험서/자격증",69
"9791170613688","우리가 사랑한 도시","김지윤.전은환 지음","북다","2026-03-12",17500,10,5,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791170613688.jpg","인문학",70
"9791171256693","백귀야행 31","이마 이치코 지음, 한나리 옮김","시공사(만화)","2026-02-25",8000,10,6,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791171256693.jpg","만화/라이트노벨",71
"9791139729719","500가지 건축으로 읽는 세계사","소피 콜린스 지음, 성소희 옮김, 임석재 감수","현대지성","2026-03-20",25000,10,15,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791139729719.jpg","역사",72
"9791173576577","진보를 위한 주식투자","이광수 지음","21세기북스","2025-12-17",22000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791173576577.jpg","경제경영",73
